external_id,name,category,subcategory,city,state,country,latitude,longitude,description,tags,avg_cost,avg_rating,crowd_level,popularity_score,is_outdoor,opening_hours,best_season,created_at,updated_at,last_synced
,Pandavleni Caves,GENERAL,,Nashik,Maharashtra,India,19.9412,73.7486,"Ancient rock-cut Buddhist caves located on a hill overlooking Nashik city. The caves date back nearly 2,000 years and feature carvings, inscriptions and meditation chambers. The short trek to the caves offers great sunrise and city views.",,,4,HIGH,8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Kalaram Temple,GENERAL,,Nashik,Maharashtra,India,20.0025,73.4742,"A historic Hindu temple built entirely with black stone, dedicated to Lord Ram. It is located in the Panchavati area and holds cultural, religious and architectural significance. The temple sees high footfall during festivals like Ram Navami.",,,3.7,MEDIUM,7.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Sula Vineyards,GENERAL,,Nashik,Maharashtra,India,19.9979,73.789,"A popular vineyard known for wine tasting, tours, outdoor seating and scenic greenery. Its one of Nashiks iconic tourism spots, especially popular among couples and weekend travelers. The place also hosts events, live music and sunset viewing points.",,,3.8,LOW,7.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Trimbakeshwar Temple,GENERAL,,Nashik,Maharashtra,India,19.9322,73.5308,"One of the twelve Jyotirlingas of India and an important pilgrimage destination. The temple lies near the Brahmagiri hills, surrounded by natural beauty and spiritual atmosphere. Rituals related to Kundali Shanti and Pitrudosh are performed here.",,,3.9,MEDIUM,7.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Panchavati,GENERAL,,Nashik,Maharashtra,India,20.0083,73.7914,"A culturally and spiritually significant area associated with the Ramayana, featuring temples, ghats and heritage lanes. Visitors explore sites like Ramkund, Kalaram Temple and Sita Gufa while experiencing the old-city spiritual atmosphere. It is one of Nashik's most visited pilgrimage and walking-route destinations.",,,4.1,LOW,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Muktidham Temple,GENERAL,,Nashik,Maharashtra,India,19.9516,73.8367,"A marble temple complex featuring replicas of famous holy shrines across India. The walls are engraved with verses from holy scriptures, making it a spiritual learning spot. It is easily accessible near Nashik Road railway station.",,,3.7,MEDIUM,7.4,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Saptashrungi Temple,GENERAL,,Nashik,Maharashtra,India,20.3917,73.907,"A revered temple situated on a mountain cliff surrounded by seven peaks. The location offers spiritual environment along with stunning natural views. Pilgrims visit throughout the year, especially during Navratri.",,,3.7,LOW,7.4,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
,Harihar Fort,GENERAL,,Nashik,Maharashtra,India,19.9048,73.4719,A famous hill fort known for its steep rock-cut staircase and adventure trekking route. The ascent is thrilling and leads to breathtaking valley viewpoints at the top. It attracts trekkers seeking challenge and scenic rewards.,,,3.9,HIGH,7.8,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Anjaneri Hills,GENERAL,,Nashik,Maharashtra,India,19.5615,73.3454,"A trekking and nature destination believed to be the birthplace of Lord Hanuman. The trail offers greenery, caves, viewpoints and a peaceful environment. Its a favored weekend hike among locals and tourists.",,,4.1,HIGH,8.2,FALSE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Sita Gufa,GENERAL,,Nashik,Maharashtra,India,20.0075,73.7961,"A small cave located in Panchavati believed to be connected to the Ramayana era. Devotees visit to see the idol of Ram, Sita and Lakshman and explore the narrow cave passages. The surrounding heritage area has temples and ghats along the Godavari River.",,,4.1,HIGH,8.2,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter""}",41:49.0,41:49.0,41:49.0
,Someshwar / Dudhsagar Falls (Nashik),GENERAL,,Nashik,Maharashtra,India,20.0291,73.7234,"A refreshing seasonal waterfall located near the 
suburbs of Nashik. It is popular among families and youth for a short picnic and nature experience. The area is especially lively and green during monsoon season.",,,3.8,MEDIUM,7.6,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""summer""}",41:49.0,41:49.0,41:49.0
,Dugarwadi Waterfall,GENERAL,,Nashik,Maharashtra,India,19.9379,73.468,"A scenic natural waterfall surrounded by dense 
greenery and hills. The walk to the waterfall is peaceful and adds a sense of adventure. It is best visited during monsoon and early winter when water flow is strong.",,,4,HIGH,8,TRUE,"{""open"": ""09:00"", ""close"": ""18:00""}","{""winter"",""monsoon""}",41:49.0,41:49.0,41:49.0
